VISA Manufacturer: SocketIO
Hello, I am Rohde&Schwarz,FSV3030,1330.5000K30/102136,2.00SP1
[2.  1.5 1. ]
POINST TOTAL =  1408 Point Range =  88
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 1408 swtcnt: 1
Measurement time: 0.804 s
PAT:  00000000000000000000000000000000000000000000000000000000000e7d0e POW MAX:  -73.3525562286377
PAT:  00000000000000000000000000000000000000000000000000000000000e7d0e POW MAX:  -73.88968880971272
PAT:  000000000000000000000000000000000000000000000000000000000e0e7d0e POW MAX:  -71.62982018788655
PAT:  000000000000000000000000000000000000000000000000000000007e0e7d0e POW MAX:  -70.95158926645915
PAT:  0000000000000000000000000000000000000000000000000000000d7e0e7d0e POW MAX:  -71.88909339904785
PAT:  0000000000000000000000000000000000000000000000000000000d7e0e7d0e POW MAX:  -71.72818215688069
PAT:  00000000000000000000000000000000000000000000000000000f0d7e0e7d0e POW MAX:  -70.64127699534099
PAT:  00000000000000000000000000000000000000000000000000007f0d7e0e7d0e POW MAX:  -70.26646137237549
PAT:  000000000000000000000000000000000000000000000000000d7f0d7e0e7d0e POW MAX:  -70.51258595784505
PAT:  000000000000000000000000000000000000000000000000000d7f0d7e0e7d0e POW MAX:  -70.79693984985352
PAT:  0000000000000000000000000000000000000000000000000d0d7f0d7e0e7d0e POW MAX:  -70.3126319249471
PAT:  0000000000000000000000000000000000000000000000007d0d7f0d7e0e7d0e POW MAX:  -70.20389080047607
PAT:  00000000000000000000000000000000000000000000000f7d0d7f0d7e0e7d0e POW MAX:  -69.11236667633057
PAT:  00000000000000000000000000000000000000000000000f7d0d7f0d7e0e7d0e POW MAX:  -69.10361162821452
PAT:  000000000000000000000000000000000000000000000d0f7d0d7f0d7e0e7d0e POW MAX:  -68.02571837107341
PAT:  000000000000000000000000000000000000000000008d0f7d0d7f0d7e0e7d0e POW MAX:  -68.36286354064941
PAT:  0000000000000000000000000000000000000000000c8d0f7d0d7f0d7e0e7d0e POW MAX:  -67.96450583140056
PAT:  0000000000000000000000000000000000000000000c8d0f7d0d7f0d7e0e7d0e POW MAX:  -68.10536448160808
PAT:  00000000000000000000000000000000000000000d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -66.95059204101562
PAT:  00000000000000000000000000000000000000007d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -67.10177548726399
PAT:  000000000000000000000000000000000000000e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -67.13370068868001
PAT:  000000000000000000000000000000000000000e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -67.2152582804362
PAT:  0000000000000000000000000000000000000d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -66.33173942565918
PAT:  0000000000000000000000000000000000008d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -66.39861583709717
PAT:  00000000000000000000000000000000000c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -65.62982972462972
PAT:  00000000000000000000000000000000000c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -65.65485254923503
PAT:  000000000000000000000000000000000d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -65.10958194732666
PAT:  000000000000000000000000000000007d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -65.35319900512695
PAT:  0000000000000000000000000000000f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -65.19589010874431
PAT:  0000000000000000000000000000000f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -65.1453800201416
PAT:  00000000000000000000000000000d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -64.65052064259847
PAT:  00000000000000000000000000007d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -64.81342665354411
PAT:  000000000000000000000000000d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -64.67421277364095
PAT:  000000000000000000000000000d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -64.81928730010986
PAT:  0000000000000000000000000f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -64.50152778625488
PAT:  0000000000000000000000007f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -64.16310755411784
PAT:  00000000000000000000000e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -63.703866163889565
PAT:  00000000000000000000000e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -63.76819451649984
PAT:  000000000000000000000f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -63.39473009109497
PAT:  000000000000000000007f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -63.11189126968384
PAT:  0000000000000000000f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.695901234944664
PAT:  0000000000000000000f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.54011217753092
PAT:  00000000000000000d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.28284947077433
PAT:  00000000000000007d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.18207804361979
PAT:  000000000000000c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.91309515635172
PAT:  000000000000000c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.68516047795614
PAT:  0000000000000d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.07801421483358
PAT:  0000000000007d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.171563148498535
PAT:  00000000000e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.034792264302574
PAT:  00000000007e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.18078247706095
PAT:  00000000067e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -62.20378637313843
PAT:  00000000b67e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -61.93559058507284
PAT:  0000000fb67e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -61.50647576649984
PAT:  0000000fb67e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -61.48430140813192
PAT:  00000f0fb67e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -61.192829291025795
PAT:  00007f0fb67e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -61.11253293355306
PAT:  000d7f0fb67e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -61.234622955322266
PAT:  000d7f0fb67e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -61.2354154586792
PAT:  0d0d7f0fb67e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -60.733396689097084
PAT:  7d0d7f0fb67e7d0c7d0f7f0e7f0d7d0f7d0c8d0e7d0c8d0f7d0d7f0d7e0e7d0e POW MAX:  -60.87258497873942
