VISA Manufacturer: SocketIO
Hello, I am Rohde&Schwarz,FSV3030,1330.5000K30/102136,2.00SP1
[3.  2.5 2.  1.5 1. ]
POINST TOTAL =  2112 Point Range =  132
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 2112 swtcnt: 1
Measurement time: 1.156 s
PAT:  0000000000000000000000000000000000000000000000000000000000000002 POW MAX:  -70.84771646772113
PAT:  00000000000000000000000000000000000000000000000000000000000000c2 POW MAX:  -70.3999603816441
PAT:  00000000000000000000000000000000000000000000000000000000000007c2 POW MAX:  -69.86709594726562
PAT:  000000000000000000000000000000000000000000000000000000000000c7c2 POW MAX:  -69.09000478472028
PAT:  000000000000000000000000000000000000000000000000000000000000c7c2 POW MAX:  -69.09711946759906
PAT:  0000000000000000000000000000000000000000000000000000000000c0c7c2 POW MAX:  -68.62995665413993
PAT:  0000000000000000000000000000000000000000000000000000000007c0c7c2 POW MAX:  -68.12870625087193
PAT:  00000000000000000000000000000000000000000000000000000000e7c0c7c2 POW MAX:  -67.20303780691964
PAT:  00000000000000000000000000000000000000000000000000000000e7c0c7c2 POW MAX:  -67.15746361868722
PAT:  000000000000000000000000000000000000000000000000000000a0e7c0c7c2 POW MAX:  -66.91706275939941
PAT:  000000000000000000000000000000000000000000000000000006a0e7c0c7c2 POW MAX:  -66.50470651899066
PAT:  0000000000000000000000000000000000000000000000000000c6a0e7c0c7c2 POW MAX:  -66.2652999332973
PAT:  0000000000000000000000000000000000000000000000000002c6a0e7c0c7c2 POW MAX:  -66.08408301217216
PAT:  00000000000000000000000000000000000000000000000000c2c6a0e7c0c7c2 POW MAX:  -65.91554505484444
PAT:  00000000000000000000000000000000000000000000000007c2c6a0e7c0c7c2 POW MAX:  -65.25228881835938
PAT:  000000000000000000000000000000000000000000000000c7c2c6a0e7c0c7c2 POW MAX:  -65.05027335030692
PAT:  000000000000000000000000000000000000000000000002c7c2c6a0e7c0c7c2 POW MAX:  -64.83857563563755
PAT:  000000000000000000000000000000000000000000000082c7c2c6a0e7c0c7c2 POW MAX:  -64.71354375566754
PAT:  000000000000000000000000000000000000000000000782c7c2c6a0e7c0c7c2 POW MAX:  -64.34413310459682
PAT:  00000000000000000000000000000000000000000000c782c7c2c6a0e7c0c7c2 POW MAX:  -64.06966836111886
PAT:  00000000000000000000000000000000000000000007c782c7c2c6a0e7c0c7c2 POW MAX:  -63.80451420375279
PAT:  00000000000000000000000000000000000000000087c782c7c2c6a0e7c0c7c2 POW MAX:  -63.60025010790144
PAT:  00000000000000000000000000000000000000000787c782c7c2c6a0e7c0c7c2 POW MAX:  -63.25405434199742
PAT:  0000000000000000000000000000000000000000c787c782c7c2c6a0e7c0c7c2 POW MAX:  -62.9161947795323
PAT:  000000000000000000000000000000000000000fc787c782c7c2c6a0e7c0c7c2 POW MAX:  -62.52877753121512
PAT:  00000000000000000000000000000000000000cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -62.37546294076102
PAT:  00000000000000000000000000000000000007cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -62.13270773206438
PAT:  000000000000000000000000000000000000c7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -61.78246661594936
PAT:  00000000000000000000000000000000000fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -61.44999531337193
PAT:  00000000000000000000000000000000008fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -61.452843938555034
PAT:  00000000000000000000000000000000068fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -61.13741956438337
PAT:  00000000000000000000000000000000c68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -61.082931654793875
PAT:  0000000000000000000000000000000fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -60.641904422215056
PAT:  0000000000000000000000000000008fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -60.662966183253694
PAT:  0000000000000000000000000000068fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -60.38923699515207
PAT:  0000000000000000000000000000868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -60.34235749925886
PAT:  000000000000000000000000000f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -59.99771785736084
PAT:  000000000000000000000000008f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -59.96545192173549
PAT:  000000000000000000000000078f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -59.77513299669538
PAT:  000000000000000000000000c78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -59.5369554247175
PAT:  00000000000000000000000fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -59.36360427311489
PAT:  00000000000000000000008fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -59.28784820011684
PAT:  00000000000000000000078fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -59.08135373251779
PAT:  00000000000000000000c78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -58.941128322056365
PAT:  0000000000000000000fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -58.63487502506801
PAT:  0000000000000000008fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -58.58655234745571
PAT:  0000000000000000068fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -58.303272928510395
PAT:  0000000000000000c68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -58.22620269230434
PAT:  000000000000000fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.849043301173616
PAT:  000000000000008fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.863618169512065
PAT:  000000000000078fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.686306135995046
PAT:  000000000000878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.55458641052246
PAT:  000000000007878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.44013854435512
PAT:  000000000077878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.40762628827776
PAT:  000000000777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.54570361546108
PAT:  00000000c777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.362257957458496
PAT:  00000007c777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.285174233572825
PAT:  00000087c777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.20602594103132
PAT:  00000787c777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -57.00563308170864
PAT:  0000c787c777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -56.83129228864397
PAT:  000fc787c777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -56.650165285382954
PAT:  008fc787c777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -56.697742870875764
PAT:  068fc787c777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -56.43666294642857
PAT:  768fc787c777878fc68fc78fc78f868fc68fc7cfc787c782c7c2c6a0e7c0c7c2 POW MAX:  -56.35497229439871
POINST TOTAL =  1056 Point Range =  66
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 1056 swtcnt: 1
Measurement time: 0.628 s
PAT:  0000000000000000000000000000000000000000000000000000000000000003 POW MAX:  -70.73474796001727
